Agg Node,State,Hours,Bandwidth (Mbps),98th-%ile Payload (Mbps),*Spurious Capacity Provided,Total BW Limited Hours,BW Limited Days,Total Statistical Clipping Hours,Statistical Clipping Days,Likely Also RAN Limited,Congestion Model Fit,Model Congestion of Interest,Rank,Node ,Unknown
NPRYBX1,QLD,531,1000,1.09,,0,0,15,4,--,--,--,10647,NPRYLM1,
NPSD0X1,VIC,539,990,3.56,,0,0,18,3,--,--,--,10648,NPSDLM1,
NPTL,QLD,498,,6.22,,0,0,14,4,--,--,--,10649,NPTLLBA,
NPND0X1,VIC,556,1000,2.74,,0,0,16,4,--,--,--,10650,NPNDLM1,
NPNH0X1,WA,551,990,4.29,,0,0,16,3,--,--,--,10651,NPNHLM1,
NPHJCX1,NSW,552,1000,5.91,,0,0,14,4,--,--,--,10652,NPHJLB1,
NPCR0X1,NSW,553,990,4.83,,0,0,12,4,--,--,--,10653,NPCRLM1,
NPGP0X1,WA,553,990,2.97,,0,0,20,5,--,--,--,10654,NPGPLM1,
NOZO0X1,TAS,551,990,2.1,,0,0,15,4,--,--,--,10655,NOZOLM1,
NOZP0X1,QLD,530,990,3.19,,0,0,13,2,--,--,--,10656,NOZPLM1,
NPAWBX1,NSW,552,1000,6.31,,0,0,13,1,--,--,--,10657,NPAWLM1,
NPBM,QLD,485,,11.26,,0,0,51,12,--,--,--,10658,NPBMLM0,
NOXY0X1,NSW,550,990,5.84,,0,0,18,4,--,--,--,10659,NOXYLM1,
NOYGBX1,NSW,536,1000,1.27,,0,0,16,4,--,--,--,10660,NOYGLM1,
NOYS0X1,QLD,529,249,6.5,,0,0,13,3,--,--,--,10661,NOYSLM1,
NOWX0X1,NSW,546,1000,6.07,,0,0,12,1,--,--,--,10662,NOWXLM2,
NOXD0X1,VIC,547,990,7.39,,0,0,15,3,--,--,--,10663,NOXDLM1,
NOUO0X1,NSW,555,1000,1.52,,0,0,14,4,--,--,--,10664,NOUOLM1,
NOWH0X1,NSW,550,990,7.52,,0,0,12,3,--,--,--,10665,NOWHLM1,
NOOMBX2,QLD,548,84,9.46,,0,0,17,3,--,--,--,10666,NOOMLM3,
NOOR0X2,QLD,530,130,17,,0,0,15,4,--,--,--,10667,NOORLM2,
NORR0X1,NSW,536,990,3.49,,0,0,13,4,--,--,--,10668,NORRLM1,
NOOM0X1,QLD,528,252,23.66,,0,0,21,4,--,--,--,10669,NOOMLM1,
NOHSBX1,QLD,531,387,11.42,,0,0,15,4,--,--,--,10670,NOHSLM1,
NOLC0X1,NSW,554,1000,11.71,,0,0,16,2,--,--,--,10671,NOLCLM1,
NOGN0X1,SA,553,990,2.03,,0,0,14,3,--,--,--,10672,NOGNLM1,
