Agg Node,State,Hours,Bandwidth (Mbps),98th-%ile Payload (Mbps),*Spurious Capacity Provided,Total BW Limited Hours,BW Limited Days,Total Statistical Clipping Hours,Statistical Clipping Days,Likely Also RAN Limited,Congestion Model Fit,Model Congestion of Interest,Rank,Node ,Unknown
WWFE0T1,NSW,564,10000,19.4,,0,0,14,3,Yes,Good,High,1,WWFEEBA,0.05196198
RHSJ0X1,NSW,534,1000,73.45,,0,0,22,5,Yes,Poor,High,2,RHSJEBA,0.03877596
WIFS0X1,QLD,530,123,66.45,,0,0,25,7,No,Poor,High,3,WIFSFM0,0.03532516
CCCD0X1,VIC,536,1000,14.22,,0,0,13,3,No,Good,High,4,CCCDEBA,0.03195519
QGKB0X1,QLD,531,81,71.52,,4,1,25,4,No,Poor,High,5,QGKBEM1,0.03062341
MVVR0X1,NT,529,39,33.24,,2,1,22,4,No,Poor,High,6,MVVRFM1,0.03044283
MVMD0X1,NSW,554,207,110.16,,0,0,25,8,No,Poor,High,7,MVMDFM2,0.02964221
WHZC0X1,TAS,539,123,49.88,,0,0,22,6,No,Moderate,High,8,WHZCFM0,0.02958829
DIUR0X1,WA,530,39,37.84,,14,5,23,5,No,Poor,High,9,DIURFM1,0.02940744
CYRM0X1,QLD,528,165,109.49,,0,0,44,11,Yes,Good,High,10,CYRMFM1,0.02783343
AUKV0X1,NT,545,81,25.13,,0,0,16,5,No,Poor,High,11,AUKVFU0,0.02706007
CNQP0T1,WA,581,257,117.6,,0,0,17,3,Yes,Moderate,High,12,CNQPFM1,0.02646207
MOAD0X1,TAS,556,123,87.63,,0,0,27,7,Yes,Moderate,High,13,MOADFM1,0.02633356
DRTV0X1,QLD,527,123,110.78,,0,0,50,9,Yes,Moderate,High,14,DRTVFM1,0.02632889
DPGE0X1,QLD,529,165,110.55,,0,0,28,11,Yes,Good,High,15,DPGEFM1,0.02627493
NFRO0X1,WA,529,39,38.31,,29,5,32,5,No,Poor,High,16,NFROFM1,0.02621755
PMRF0T1,NSW,564,123,105.39,,0,0,38,9,Yes,Moderate,High,17,PMRFFM1,0.02592891
TABM0X1,QLD,529,165,109.85,,0,0,23,5,No,Poor,High,18,TABMEM1,0.0259095
BJEF0X1,WA,529,39,30.53,,1,0,16,4,No,Poor,High,19,BJEFFM1,0.02546389
BJXM0X1,NSW,553,39,38.59,,67,15,83,18,No,Moderate,High,20,BJXMFM1,0.02536991
YROC0T1,NSW,564,77,76.38,,73,15,85,18,No,Moderate,High,21,YROCFM1,0.02502567
ALGQ0X1,QLD,531,123,70.96,,0,0,15,3,Yes,Moderate,High,22,ALGQFM1,0.02484355
CHKD0T1,WA,567,123,75.44,,0,0,22,5,Yes,Moderate,High,23,CHKDFM1,0.02456518
DNDH0X1,NSW,536,123,97.43,,0,0,27,6,Yes,Moderate,High,24,DNDHFM1,0.02454572
GSRD0X1,TAS,555,77,77.12,,302,25,301,25,Yes,Good,High,25,GSRDFM1,0.02427563
CEDD0X1,QLD,527,123,117.62,,14,3,37,10,No,Moderate,High,26,CEDDEM1,0.02417501
SWHL0X1,SA,554,123,64,,0,0,23,5,No,Poor,High,27,SWHLFM1,0.02401741
MGWC0X1,QLD,549,123,53.95,,0,0,19,4,No,Poor,High,28,MGWCFM0,0.0236443
YIED0X1,VIC,555,123,61.5,,0,0,29,7,No,Poor,High,29,YIEDFM1,0.0235762
BNQW0X1,NSW,549,77,58.9,,0,0,29,9,No,Moderate,High,30,BNQWFM1,0.02343669
EMEHBX1,QLD,526,257,153.64,,0,0,34,6,Yes,Poor,High,31,EMEHEM1,0.02312495
PTSW0X1,QLD,529,257,113.2,,0,0,35,12,Yes,Good,High,32,PTSWFM1,0.02295021
KLOW0X1,NSW,551,123,79.71,,0,0,22,6,No,Moderate,High,33,KLOWFM1,0.02287221
MNJQ0X1,NSW,551,81,50.94,,0,0,26,5,No,Moderate,High,34,MNJQFM1,0.02278913
TGAR0X1,TAS,552,249,49.54,,0,0,30,9,No,Poor,High,35,TGARFM0,0.02276232
MCOLCX1,QLD,530,257,207.05,,0,0,166,23,No,Poor,High,36,MCOLEM1,0.02235439
ANLY0X1,SA,532,81,71.74,,5,1,19,6,No,Poor,High,37,ANLYFM1,0.02228891
BKLC0T1,SA,565,123,80.28,,0,0,28,8,Yes,Poor,High,38,BKLCFM1,0.02228801
NCAV0X1,SA,554,165,82.97,,0,0,25,7,No,Moderate,High,39,NCAVFM1,0.02228214
WFOJ0X1,WA,552,39,36.48,,7,2,32,7,No,Poor,High,40,WFOJFM1,0.02227161
PNER0X1,QLD,530,123,66.98,,0,0,41,12,No,Poor,High,41,PNERFM0,0.0222434
MUYD0X1,NSW,552,123,68.76,,0,0,19,6,No,Poor,High,42,MUYDFM1,0.02223001
TCKC0X1,NT,531,81,67.3,,0,0,38,11,No,Poor,High,43,TCKCFM0,0.02217712
ROMR0X1,QLD,550,257,154.42,,0,0,22,6,Yes,Moderate,High,44,ROMRFM1,0.02214904
CYAM0X1,QLD,529,257,118.18,,0,0,25,5,No,Poor,High,45,CYAMEM1,0.02205396
CWRR0X1,SA,532,123,81.86,,0,0,23,6,No,Moderate,High,46,CWRRFM1,0.02192452
FGSX0X1,QLD,527,39,18.47,,0,0,13,3,No,Poor,High,47,FGSXFU0,0.02181222
MZRC0X1,TAS,555,123,22.95,,0,0,17,3,No,Moderate,High,48,MZRCFM0,0.02179499
ETNC0X1,TAS,537,81,72.31,,1,0,35,8,Yes,Moderate,High,49,ETNCFM1,0.0216323
REYEWA0001,NSW,602,26,22.14,,0,0,52,15,No,Poor,High,50,YEWAFM1,0.02154634
NCUQ0X1,VIC,539,39,29.57,,1,0,14,4,No,Poor,High,51,NCUQFM0,0.02144811
BLDQ0X1,QLD,529,165,96.59,,0,0,28,8,No,Poor,High,52,BLDQFM1,0.02135442
BBXD0X1,VIC,555,1000,68.86,,0,0,24,5,Yes,Moderate,High,53,BBXDFM1,0.02117956
WOUT0X1,QLD,550,123,79.45,,0,0,24,6,No,Moderate,High,54,WOUTFM2,0.02116816
TGPX0X1,SA,555,123,84.46,,0,0,16,2,No,Moderate,High,55,TGPXFM1,0.02108033
BFBQ0X1,NSW,536,77,63.65,,0,0,21,5,Yes,Moderate,High,56,BFBQFM1,0.02105478
WLNB0X1,SA,553,123,68.28,,0,0,21,3,No,Moderate,High,57,WLNBFM1,0.02099041
TMJJ0X1,NSW,538,123,96.55,,0,0,22,5,No,Poor,High,58,TMJJEM1,0.02096295
TCYJ0X1,NSW,538,39,38.97,,147,20,148,20,No,Moderate,High,59,TCYJFM1,0.02094516
WOPD0X1,WA,552,257,19.5,,0,0,21,7,No,Poor,High,60,WOPDFM0,0.02084805
PANH0X1,QLD,528,257,54.64,,0,0,20,6,No,Poor,High,61,DOKQFU0,0.02075737
WYKU0T1,SA,565,39,37.01,,11,4,32,8,No,Moderate,High,62,WYKUFM1,0.02074151
NOUEBL1,NSW,553,1000,6.05,,0,0,15,3,No,Poor,High,63,NOUEEB1,0.02073812
ANNU0X1,NSW,552,252,98.75,,0,0,15,4,Yes,Poor,High,64,ANNUEM1,0.02068263
MLKM0X1,QLD,529,81,61.85,,0,0,25,6,Yes,Moderate,High,65,MLKMFM1,0.02066045
SIHN0X1,NSW,552,123,95.35,,0,0,21,6,No,Good,High,66,SIHNEM1,0.02064667
SMTVBL1,NSW,556,200,6.83,,0,0,12,2,No,Poor,High,67,SMTVEB1,0.02059481
KEXE0X1,WA,531,77,70.75,,2,1,41,8,No,Poor,High,68,KEXEFM1,0.02055997
MWUZ0T1,SA,565,81,31.83,,0,0,13,3,No,Moderate,High,69,MWUZFM1,0.02045991
CVKR0X1,VIC,556,39,29.25,,1,0,13,3,No,Poor,High,70,CVKRFM1,0.02036702
WYGH0X1,NSW,552,39,38.65,,47,14,53,14,No,Poor,High,71,WYGHFM1,0.02031438
MEHD0X1,VIC,537,123,102.65,,0,0,32,9,Yes,Moderate,High,72,MEHDFM1,0.02030543
SPBO0X1,QLD,548,81,52.31,,0,0,21,6,Yes,Moderate,High,73,SPBOFM2,0.02026999
BIKQ0T1,WA,567,123,110.62,,1,0,27,6,No,Poor,High,74,BIKQFM1,0.02021871
BQEK0X1,NSW,547,165,13.59,,0,0,15,4,No,Moderate,High,75,BQEKEM1,0.0202113
GEWP0X1,NSW,533,123,42.9,,0,0,16,5,No,Moderate,High,76,GEWPFM1,0.02012747
GSVB0X1,WA,530,1000,86.68,,0,0,16,4,No,Poor,High,77,GSVBFM1,0.02010152
ATWP0X1,NSW,549,123,54.47,,0,0,20,4,No,Moderate,High,78,ATWPFM2,0.02002626
CHYG0X1,SA,532,127,86.71,,0,0,28,7,No,Poor,High,79,CHYGFM1,0.01999873
WMBP0X1,NSW,555,123,50.05,,0,0,15,3,No,Poor,High,80,WMBPFM0,0.01998497
CUFS0X1,QLD,528,123,76.09,,0,0,16,4,No,Moderate,High,81,CUFSFM1,0.01994236
PTRH0T1,SA,565,165,150.15,,1,0,26,8,No,Moderate,High,82,PTRHEM1,0.01991411
MEZT0X1,SA,531,81,68.27,,0,0,34,7,No,Poor,High,83,MEZTFM1,0.01982052
CLDN0X1,QLD,544,123,60.65,,0,0,23,6,Yes,Moderate,High,84,CLDNFM0,0.01978661
OLWR0X1,NSW,550,39,33.16,,0,0,34,8,No,Good,High,85,OLWRFM0,0.01974744
BGDE0X1,NSW,547,123,93.19,,0,0,30,8,Yes,Poor,High,86,BGDEFM1,0.01969687
MVYV0X1,QLD,529,39,35.27,,3,1,17,5,No,Poor,High,87,MVYVFM1,0.01961846
LUAR0X1,NSW,535,39,36.29,,6,2,23,6,No,Poor,High,88,LUARFM1,0.01961129
DFDO0X1,VIC,537,39,38.46,,33,12,40,12,No,Moderate,High,89,DFDOFM1,0.01958907
JBAT0T1,QLD,566,9990,346.75,,0,0,21,5,No,Good,High,90,JBATCM1,0.01958263
MJXS0X1,WA,528,39,38.9,,77,21,79,21,No,Good,High,91,MJXSFM1,0.01947479
BKXP0X1,NSW,554,77,62.15,,0,0,17,4,No,Moderate,High,92,BKXPFM1,0.0194197
SECA0X1,QLD,530,127,79.69,,0,0,42,12,Yes,Good,High,93,SECAFM1,0.01937
TOHK0X1,NSW,533,165,92.18,,0,0,13,3,Yes,Good,High,94,TOHKFM1,0.01925542
KNHD0X1,NSW,553,123,12.27,,0,0,13,4,No,Moderate,High,95,KNHDFM1,0.01920639
NOGU0X1,WA,532,257,104.73,,0,0,20,5,No,Moderate,High,96,NOGUEM1,0.0191446
PLQP0X1,WA,533,39,27.34,,0,0,12,2,No,Poor,High,97,PLQPFM1,0.01912108
WMPO0X1,QLD,530,39,64.86,Yes,243,25,15,5,No,Moderate,High,98,WMPOFM1,0.01909646
UCBT0X1,WA,532,39,25.04,,0,0,13,2,No,Poor,High,99,UCBTFM0,0.0190662
RUED0X1,VIC,558,123,112.5,,2,0,35,11,Yes,Moderate,High,100,RUEDFM1,0.01898585
NELD0X1,WA,553,123,88.01,,0,0,21,6,No,Moderate,High,101,NELDFM1,0.01896653
GNHM0X1,QLD,526,81,79.49,,105,17,172,22,Yes,Good,High,102,GNHMFM1,0.01888831
MTUD0X1,TAS,539,123,84.23,,0,0,40,9,Yes,Moderate,High,103,MTUDFM1,0.0187465
DBRO0X1,QLD,548,207,197.2,,12,3,39,14,No,Moderate,High,104,DBROEM1,0.01868568
BYII0X1,WA,551,39,35.8,,7,1,31,7,No,Poor,High,105,BYIIFM1,0.0186601
CGKU0X1,WA,551,39,21.24,,0,0,18,6,No,Poor,High,106,CGKUFM1,0.01865433
GGND0X1,WA,529,249,201.96,,0,0,24,6,No,Moderate,High,107,GGNDEM1,0.01853744
RRMW0X1,NSW,556,123,54.89,,0,0,22,7,No,Poor,High,108,RRMWFM1,0.01842446
LIXI,NT,549,,7.88,,0,0,18,6,No,Poor,High,109,LIXIFU0,0.01833398
LIED0X1,NT,526,81,62.02,,0,0,41,12,No,Poor,High,110,LIEDFM0,0.0182492
BQIJ0T1,SA,565,81,56.33,,0,0,18,5,No,Poor,High,111,BQIJFM1,0.01821287
ECWE0X1,NSW,535,207,85.97,,0,0,28,10,No,Poor,High,112,ECWEFM1,0.01819837
MVNI0X1,NSW,536,77,47.66,,0,0,19,4,No,Poor,High,113,MVNIFM1,0.01814662
MYWG0X1,NSW,550,39,34.52,,2,0,24,7,No,Moderate,High,114,MYWGFM0,0.01805507
AJCO0X1,QLD,551,387,84.14,,0,0,14,2,No,Poor,High,115,AJCOFM1,0.0179525
WJTQ0X1,WA,531,165,158.93,,16,6,32,9,No,Moderate,High,116,WJTQEM1,0.0179368
MVZT0X1,WA,532,39,36.75,,5,0,24,7,No,Poor,High,117,MVZTFM1,0.0179365
SIRD0T2,WA,532,250,51.22,,0,0,17,4,No,Moderate,High,118,SIRDFM1,0.0178898
CVQV0X1,WA,529,39,38.3,,29,8,41,11,No,Poor,High,119,CVQVFM1,0.01763301
SHBR0X1,QLD,531,165,111.14,,0,0,20,7,Yes,Moderate,High,120,SHBRFM1,0.01762
SXMT0T1,NSW,564,81,15.79,,0,0,18,5,No,Poor,High,121,SXMTFM0,0.01759114
MMJI0X1,QLD,530,81,78.36,,24,8,50,11,Yes,Moderate,High,122,MMJIFM1,0.01756277
MHOA0T1,QLD,566,123,100.95,,0,0,30,8,Yes,Good,High,123,MHOAFM1,0.01752128
FXTN0X1,QLD,529,123,24.48,,0,0,18,3,No,Poor,High,124,FXTNFU0,0.0175209
SVKR0X1,NSW,546,207,28.65,,0,0,16,4,No,Good,High,125,SVKRFM1,0.01746962
PWKW0T1,SA,565,127,51.19,,0,0,15,4,No,Moderate,High,126,PWKWFM1,0.01744341
FRKD0X1,WA,531,123,30.45,,0,0,15,4,No,Poor,High,127,FRKDFM0,0.01738731
BJUE0X1,WA,552,39,13.12,,0,0,14,2,No,Moderate,High,128,BJUEFM0,0.01738265
REGIGD0001,WA,598,9,8.47,,8,2,73,16,No,Poor,High,129,GIGDFM0,0.01735492
KUZZ0X1,QLD,546,123,122.97,,176,23,177,23,No,Moderate,High,130,KUZZEM1,0.01730422
MUWH0X1,NSW,552,1000,72.53,,0,0,23,6,No,Poor,High,131,MUWHFM1,0.01729462
TRHU0X1,NSW,550,123,94.66,,0,0,23,8,No,Poor,High,132,TRHUFM1,0.01718234
HVLY0X1,SA,531,123,64.1,,0,0,17,5,No,Poor,High,133,HVLYFM1,0.01702247
TRJP0X1,VIC,557,123,90.87,,0,0,19,4,No,Poor,High,134,TRJPFM1,0.01700118
GHMQ0X1,QLD,601,257,94.63,,0,0,31,9,No,Moderate,High,135,GHMQEM1,0.01699866
MVVD0X1,WA,529,257,188.85,,0,0,42,10,Yes,Poor,High,136,MVVDEM2,0.01699353
MKXO0T1,WA,567,123,35.48,,0,0,19,3,No,Poor,High,137,MKXOFM1,0.01693955
MWIO0T1,VIC,564,257,24.58,,0,0,17,4,No,Poor,High,138,MWIOFM0,0.01691082
SIQV0X1,VIC,540,1000,80.69,,0,0,27,8,Yes,Moderate,High,139,SIQVFM1,0.01687159
MUGN0T1,QLD,577,10000,42.03,,0,0,28,9,No,Moderate,High,140,CXJGFU0,0.01685911
REMBVD0001,VIC,565,26,19.76,,0,0,20,6,No,Good,High,141,MBVDFM0,0.0168488
KDGO0X1,SA,531,39,36.53,,7,1,26,6,No,Moderate,High,142,KDGOFM1,0.0168262
MVVK0X1,QLD,530,39,39.01,,240,24,240,24,No,Good,High,143,MVVKFM1,0.01681015
WYWD0T1,WA,567,77,51.11,,0,0,17,5,No,Moderate,High,144,WYWDFM2,0.01679487
LYRT0T1,QLD,566,81,26.9,,0,0,13,3,No,Poor,High,145,LYRTFM0,0.01677487
GSQH0X1,WA,531,39,32.92,,1,0,19,4,No,Poor,High,146,GSQHFM1,0.0167214
CJWC0X1,NSW,474,39,38.52,,35,11,49,13,No,Moderate,High,147,CJWCFM1,0.01660066
MUPD0T1,WA,567,10000,89.01,,0,0,17,4,No,Moderate,High,148,MUPDVM1,0.01656714
CPSH0X1,SA,553,77,76.86,,131,22,136,22,Yes,Good,High,149,CPSHFM1,0.01652926
RAIC0X1,TAS,552,123,55.44,,0,0,40,10,Yes,Poor,High,150,RAICFM0,0.01651733
LHOR0X1,SA,553,123,65.99,,0,0,29,7,No,Moderate,High,151,LHORFM1,0.01649155
WWRQ0X1,QLD,552,123,100.54,,0,0,30,7,No,Good,High,152,WWRQFM1,0.01648924
BXMW0T1,WA,446,10000,204.87,,0,0,37,10,Yes,Poor,High,153,BXMWAM1,0.01646996
NAFC0X1,VIC,551,123,46.2,,0,0,35,8,No,Moderate,High,154,NAFCFM0,0.01641357
UQGN0X1,QLD,530,165,107.9,,0,0,18,3,No,Moderate,High,155,UQGNEM1,0.01639414
GBUN0X1,VIC,536,123,111.91,,4,1,27,9,No,Moderate,High,156,GBUNFM1,0.0163399
TEPP0T1,NT,545,10000,179,,0,0,42,9,Yes,Poor,High,157,TEPPEM1,0.01630495
TPVV0X1,VIC,541,39,20.94,,0,0,13,3,No,Poor,High,158,TPVVFU0,0.01627088
RLKD0X1,WA,552,165,83.3,,0,0,21,5,No,Poor,High,159,RLKDFM0,0.01626309
SFDS0T1,QLD,566,9990,207.81,,0,0,23,7,No,Moderate,High,160,SFDSCM1,0.01623007
RPBT0X1,SA,557,207,77.83,,0,0,22,4,No,Poor,High,161,RPBTFM1,0.01622656
TYSD0X1,WA,530,81,48.44,,0,0,16,3,No,Poor,High,162,TYSDFM0,0.01622101
BX3E0T2,QLD,462,9997,767.24,,0,0,43,11,Yes,Good,High,163,BVVVCM1,0.01620301
MSOM0X1,QLD,527,207,199.29,,14,5,49,14,No,Poor,High,164,MSOMEM1,0.01618771
TULK0X1,NSW,536,123,38.3,,0,0,25,7,No,Good,High,165,TULKFM0,0.01616803
TAHT0X1,QLD,531,123,91.6,,0,0,49,14,Yes,Moderate,High,166,TAHTFM0,0.01612058
KYGX0X1,VIC,557,165,66.18,,0,0,25,6,No,Moderate,High,167,KYGXFM1,0.01608046
MCAD0T1,NSW,564,165,105.52,,0,0,27,9,Yes,Good,High,168,MCADFM1,0.01598827
CFFU0X1,VIC,535,123,69.97,,0,0,27,10,No,Moderate,High,169,CFFUFM1,0.01598342
AHBN0X1,SA,551,39,38.76,,43,9,50,11,No,Poor,High,170,AHBNFM1,0.01591253
WLVI0X1,VIC,555,39,25.99,,0,0,17,5,No,Poor,High,171,WLVIFM1,0.01588027
BYGR0T1,NSW,564,10000,268.1,,0,0,22,5,Yes,Poor,High,172,BYGRCM1,0.0158585
WQVA0T1,VIC,564,123,71.52,,0,0,33,8,No,Moderate,High,173,WQVAFM1,0.0158463
MWIU0T1,SA,565,81,23.83,,0,0,17,4,No,Poor,High,174,MWIUFM0,0.01583258
LCGU0X1,NSW,546,123,91.63,,0,0,33,8,Yes,Good,High,175,LCGUFM1,0.01582745
SDMTDX2,QLD,528,123,127.14,,321,25,279,25,Yes,Good,High,176,SDMTEM3,0.01578562
GBOQ0T1,QLD,566,165,125.51,,0,0,27,7,Yes,Good,High,177,GBOQEM1,0.01575667
MGOU0X1,SA,532,249,117.91,,0,0,24,5,No,Moderate,High,178,MGOUFM1,0.01575069
MVNY0X1,VIC,537,123,59.52,,0,0,24,5,Yes,Moderate,High,179,MVNYFM1,0.0157149
HCBD0X1,VIC,537,123,70.96,,0,0,22,6,No,Good,High,180,HCBDFM1,0.01567209
DULN0X1,QLD,528,123,97.4,,0,0,22,5,No,Good,High,181,DULNFM1,0.01562784
AUBU0X1,SA,532,257,116.46,,0,0,25,6,No,Moderate,High,182,AUBUFM1,0.01559892
MJXJ0X1,SA,531,39,29.44,,3,1,12,4,No,Poor,High,183,MJXJFM1,0.01557659
GRRE0X1,QLD,547,123,119.17,,35,8,80,15,Yes,Good,High,184,GRREEM1,0.01553832
NNSD0X1,WA,530,81,31.69,,0,0,14,3,No,Moderate,High,185,NNSDFM0,0.01553701
BJFG0X1,QLD,528,39,32.12,,0,0,23,5,No,Poor,High,186,BJFGFU0,0.0154867
WJFF0T1,NSW,564,207,58.01,,0,0,18,4,No,Moderate,High,187,WJFFFM1,0.01545312
KNIM0T1,NSW,564,127,92.08,,0,0,18,2,No,Poor,High,188,KNIMFM1,0.01545256
WLOD0X1,WA,552,123,102.16,,0,0,25,6,Yes,Good,High,189,WLODFM1,0.01543344
COAC0X1,QLD,529,387,226.45,,0,0,17,5,No,Good,High,190,COACAM3,0.01542999
ELHV0T1,QLD,566,81,46.97,,0,0,13,4,No,Moderate,High,191,ELHVFM1,0.01542904
BKMS0X1,NSW,534,123,70.85,,0,0,25,9,No,Moderate,High,192,BKMSFM1,0.01538412
BLDMCX2,QLD,530,77,77.03,,243,24,243,24,No,Good,High,193,BLDMEM1,0.01538336
BYOW0X1,SA,530,81,75.54,,4,1,27,8,No,Poor,High,194,BYOWFM1,0.01532194
CUNGCX1,QLD,527,249,189.52,,0,0,20,5,Yes,Moderate,High,195,CUNGEM1,0.01531125
BTKM0X1,NSW,555,123,72.13,,0,0,23,7,No,Moderate,High,196,BTKMFM1,0.01527869
SSDG0X1,NSW,550,77,29.59,,0,0,17,3,No,Moderate,High,197,SSDGFM0,0.0152401
BNPD0T1,WA,168,,127.22,,0,0,9,2,No,Moderate,High,198,BNPDEM1,0.01520635
BNAG0X1,NSW,536,123,85.21,,0,0,31,6,Yes,Moderate,High,199,BNAGFM1,0.01519873
CQGG0X1,NSW,550,81,17.05,,0,0,15,3,No,Poor,High,200,CQGGFM1,0.01517433
RUKD0X1,WA,533,123,79.32,,0,0,15,4,No,Poor,High,201,RUKDFM1,0.01516755
BOBH0X1,NSW,536,127,35.4,,0,0,18,6,No,Moderate,High,202,BOBHFM0,0.01515139
BVIA0X1,NSW,548,165,40.62,,0,0,17,4,No,Moderate,High,203,BVIAFM0,0.0151487
TEKY0X1,SA,554,81,53.94,,0,0,24,6,No,Poor,High,204,TEKYFM2,0.0151426
BIOD0X1,WA,531,127,65.77,,0,0,15,3,No,Poor,High,205,BIODFM1,0.01511996
BYDU0X1,NSW,535,77,69.82,,2,0,23,6,No,Moderate,High,206,BYDUFM1,0.01503454
WWGD0T1,WA,575,10000,74.76,,0,0,19,5,No,Moderate,High,207,WWGDEM1,0.01501699
LGGN0X1,NSW,553,39,23.54,,0,0,19,5,No,Poor,High,208,LGGNEM0,0.01501575
YOTP0T1,WA,567,39,32.9,,1,0,30,10,No,Moderate,High,209,YOTPFM2,0.01501495
BFCI0X1,NSW,545,123,56.71,,0,0,15,3,No,Moderate,High,210,BFCIFM2,0.01500925
WBBD0T1,VIC,575,9997,813.95,,0,0,43,8,Yes,Moderate,High,211,WBBDCM1,0.01497326
YEEG0X1,WA,531,81,46.31,,0,0,21,3,No,Moderate,High,212,YEEGFM0,0.01496235
TEHB0X1,SA,531,127,27.48,,0,0,18,5,No,Moderate,High,213,TEHBFM0,0.01483883
CLGN0X1,SA,531,123,122.98,,192,23,192,23,No,Good,High,214,CLGNEM1,0.01482543
BIXZ0X1,QLD,529,81,46.46,,0,0,19,6,No,Poor,High,215,BIXZFU0,0.01481761
MKUI0X1,NSW,548,123,10.95,,0,0,13,3,No,Poor,High,216,MKUIFU0,0.01481486
DGPU0X1,NSW,551,123,38.07,,0,0,28,7,No,Moderate,High,217,DGPUFM2,0.01481135
DUIQ0X1,QLD,528,207,74.69,,0,0,25,6,Yes,Good,High,218,DUIQFM1,0.01479415
WRUL0X1,WA,531,39,33.08,,0,0,22,5,No,Poor,High,219,WRULFM1,0.01478017
DNMS0X1,QLD,543,39,27.79,,0,0,14,3,No,Poor,High,220,DNMSFM0,0.01477963
CJQN0X1,NSW,562,39,37.21,,17,5,49,11,No,Moderate,High,221,CJQNFM1,0.01473456
ALYD0T1,WA,567,9997,530,,0,0,65,19,Yes,Good,High,222,ALYDVM1,0.01471897
OADY0X1,TAS,555,81,40.7,,0,0,18,7,No,Poor,High,223,OADYFU0,0.01465866
MWGY0T1,VIC,564,81,22.25,,0,0,17,2,No,Moderate,High,224,MWGYFM0,0.01465237
PBVV0X1,NSW,537,39,38.53,,46,11,53,13,No,Moderate,High,225,PBVVFM1,0.01465086
GAQX0X1,VIC,536,77,43.41,,0,0,23,4,No,Good,High,226,GAQXFM1,0.01464992
BJLZ0X1,NSW,547,39,31.12,,1,0,12,2,No,Moderate,High,227,BJLZFM0,0.01459328
GNNR0X1,QLD,548,123,115.49,,7,1,51,18,Yes,Moderate,High,228,GNNRFM1,0.01458902
TEEG0X1,NSW,550,249,171.05,,0,0,26,4,No,Good,High,229,TEEGEM1,0.01458836
TSXN0X1,QLD,528,165,72.17,,0,0,27,7,No,Moderate,High,230,TSXNFM1,0.01456658
MKXQ0X1,VIC,555,81,29.43,,0,0,17,3,No,Poor,High,231,MKXQFM0,0.01456476
CMYQ0X1,NSW,554,123,97.27,,0,0,39,11,No,Moderate,High,232,CMYQFM1,0.01453094
CQVBBX1,QLD,530,165,125.72,,0,0,20,4,No,Good,High,233,CQVBEM1,0.01453012
STTD0X1,VIC,558,77,35.54,,0,0,17,5,No,Poor,High,234,STTDFM0,0.01450936
BGLG0X1,NSW,553,123,114.01,,2,0,43,12,Yes,Good,High,235,BGLGFM1,0.01448165
KBKD0T1,WA,567,9990,240.84,,0,0,22,6,No,Good,High,236,KBKDCM1,0.01445781
BQTQ0X1,NSW,517,39,37.7,,18,5,23,6,No,Moderate,High,237,BQTQFM1,0.01445214
TBED0X1,WA,551,123,49.42,,0,0,15,4,No,Poor,High,238,TBEDFM0,0.01443367
RNDA0T1,NSW,564,77,76.81,,72,20,77,22,No,Good,High,239,RNDAFM1,0.01442808
NGND0X1,WA,531,123,55.1,,0,0,14,3,No,Moderate,High,240,NGNDFM1,0.01441898
RECH0X1,NT,530,257,132.25,,0,0,21,4,No,Poor,High,241,RECHFM1,0.01438436
SFOD0T1,WA,567,81,33.13,,0,0,20,3,No,Poor,High,242,SFODFM0,0.0143641
VATL0X1,WA,527,39,30.98,,0,0,19,4,No,Poor,High,243,VATLFM2,0.01435537
BYKX0X1,NSW,547,39,36.07,,6,2,39,10,No,Moderate,High,244,BYKXFM1,0.01434309
MKLX0X1,VIC,552,81,52.6,,0,0,25,8,No,Good,High,245,MKLXFM1,0.0143407
WDAL0X1,NSW,552,81,79.59,,66,15,89,20,No,Moderate,High,246,WDALFM1,0.01426819
MBKD0X1,WA,554,165,162.89,,39,11,48,16,No,Moderate,High,247,MBKDEM1,0.01426306
RILD0X1,WA,533,990,71.16,,0,0,39,13,Yes,Moderate,High,248,RILDFM1,0.0142545
SIVR0X1,QLD,532,39,36.34,,7,1,30,9,No,Moderate,High,249,SIVRFM1,0.01423134
GHMW0X1,QLD,553,39,38.87,,74,19,77,21,No,Good,High,250,GHMWFM1,0.01418894
BQEV0X1,QLD,529,39,38.74,,67,16,69,16,No,Moderate,High,251,BQEVFU0,0.01418645
CCXD0T1,WA,567,123,44.06,,0,0,16,4,No,Poor,High,252,CCXDFM0,0.01408283
LGDD0X1,VIC,556,123,82.42,,0,0,31,12,Yes,Moderate,High,253,LGDDFM1,0.01404135
MWGQ0X1,QLD,530,81,32.02,,0,0,13,3,No,Poor,High,254,MWGQFM3,0.01400603
MILW0T1,QLD,566,123,91.87,,0,0,42,11,No,Good,High,255,MILWFM1,0.01399329
DKWD0X1,WA,531,165,151.37,,4,0,36,10,Yes,Moderate,High,256,DKWDEM1,0.01398614
MJUL0T1,QLD,566,249,243.47,,21,6,41,10,No,Moderate,High,257,MJULEM1,0.01397907
DAWG0X1,QLD,528,123,57.71,,0,0,17,6,No,Moderate,High,258,DAWGFM0,0.0139684
HLET0T1,SA,565,123,67.72,,0,0,17,4,No,Poor,High,259,HLETFM1,0.01393609
DFMV0X1,VIC,552,123,83.15,,0,0,17,6,No,Moderate,High,260,DFMVFM1,0.01393505
